Packet Number,Latency (µs)
1,36.81
2,32.74
3,28.91
4,24.72
5,42.25
6,51.46
7,62.44
8,32.8
9,34.13
10,25.35
11,29.92
12,19.66
13,23.82
14,24.62
15,91.33
16,50.06
17,105.52
18,73.63
19,112.85
20,32.78
21,22.05
22,128.15
23,131.78
24,134.77
25,92.47
26,45.36
27,38.35
28,30.85
29,49.04
30,172.7
31,66.51
32,25.35
33,34.59
34,35.0
35,84.19
36,27.81
37,41.98
38,51.4
39,18.08
40,28.78
41,264.53
42,107.51
43,150.45
44,112.59
45,138.64
46,24.4
47,31.77
48,118.5
49,66.71
50,220.31
51,35.85
52,27.9
53,36.78
54,41.03
55,43.6
56,49.62
57,26.3
58,32.69
59,26.23
60,36.88
61,55.08
62,80.62
63,34.93
64,42.12
65,43.05
66,36.66
67,27.34
68,28.51
69,45.14
70,35.42
71,1201.73
72,414.07
73,172.01
74,208.7
75,576.93
76,96.21
77,124.77
78,6147.64
79,16.48
80,480.16
81,239.23
82,164.97
83,207.58
84,175.38
85,202.65
86,278.57
87,870.01
88,188.96
89,139.24
90,678.79
91,379.02
92,111.6
93,23.86
94,264.51
95,199.29
96,185.5
97,121.36
98,132.9
99,134.11
100,250.05
101,135.06
102,222.48
103,114.41
104,235.56
105,117.55
106,172.84
107,127.23
108,106.21
109,362.26
110,31.37
111,43.67
112,139.91
113,205.73
114,25.3
115,31.29
116,173.31
117,381.99
118,28.16
119,289.88
120,208.21
121,218.12
122,239.72
123,223.36
124,32.04
125,178.92
126,1738.7
127,2198.57
128,31.91
129,186.93
130,158.48
131,188.83
132,256.32
133,24.49
134,2130.36
135,11288.19
136,151.1
137,168.1
138,261.98
139,263.82
140,191.52
141,229.92
142,175.88
143,289.25
144,326.0
145,20.56
146,3348.05
147,298.28
148,281.28
149,271.75
150,239.77
151,46.51
152,255.9
153,271.97
154,883.23
155,30.58
156,191.57
157,315.67
158,21.43
159,209.36
160,55.69
161,42.27
162,6379.08
163,248.31
164,340.73
165,356.44
166,21.02
167,131.09
168,62.42
169,23.45
170,75.91
171,217.87
172,26.23
173,205.96
174,84.72
175,120.49
176,337.87
177,164.63
178,52.88
179,153.72
180,81.96
181,147.26
182,80.93
183,74.56
184,41.26
185,27.65
186,31.03
187,27.27
188,40.29
189,35.76
190,66.75
191,26.9
192,27.55
193,44.03
194,62.46
195,58.78
196,83.63
197,70.19
198,29.27
199,31.89
200,33.8
201,48.55
202,35.25
203,25.66
204,128.95
205,29.52
206,34.55
207,63.48
208,58.79
209,35.2
210,126.031
211,83.7
212,76.84
213,119.92
214,34.52
215,31.19
216,24.9
217,31.73
218,231.71
219,2435.63
220,75.99
221,35.05
222,25.98
223,38.06
224,32.94
225,68.95
226,44.87
227,149.21
228,32.6
229,73.43
230,35.06
231,141.48
232,27.83
233,75.84
234,30.25
235,63.69
236,84.22
237,36.42
238,52.19
239,107.78
240,32.28
241,29.76
242,36.31
243,41.71
244,31.74
245,52.18
246,23.56
247,41.11
248,35.88
249,28.56
250,53.6
251,59.0
252,31.0
253,40.02
254,34.71
255,58.54
256,39.78
257,38.94
258,99.96
259,15.01
260,28.63
261,27.21
262,37.78
263,30.57
264,39.68
265,41.2
266,52.27
267,68.21
268,34.52
269,35.11
270,32.01
271,44.11
272,40.87
273,127.63
274,37.52
275,31.37
276,33.22
277,81.38
278,83.981
279,130.82
280,50.7
281,18.06
282,67.58
283,105.77
284,27.18
285,91.38
286,45.04
287,49.35
288,35.02
289,47.85
290,38.15
291,49.39
292,43.13
293,50.0
294,79.07
295,22.28
296,36.86
297,21.96
298,29.25
299,66.4
300,27.99
301,192.4
302,128.37
303,186.4
304,40.99
305,31.45
306,63.19
307,75.12
308,125.11
309,27.93
310,37.24
311,27.54
312,34.29
313,54.45
314,20.59
315,81.45
316,157.55
317,34.86
318,34.77
319,37.06
320,73.36
321,31.94
322,45.54
323,28.78
324,510.14
325,42.26
326,105.03
327,48.47
328,47.38
329,32.26
330,56.44
331,22.78
332,47.03
333,42.6
334,44.03
335,31.67
336,78.54
337,30.11
338,33.73
339,37.06
340,76.14
341,22.93
342,29.37
343,100.64
344,75.7
345,26.57
346,67.96
347,26.8
348,158.829
349,37.45
350,32.84
351,39.8
352,39.17
353,38.65
354,86.7
355,39.98
356,30.86
357,58.24
358,35.55
359,120.83
360,40.05
361,31.53
362,13.83
363,40.33
364,52.93
365,51.53
366,74.04
367,25.59
368,49.11
369,25.52
370,25.58
371,33.74
372,52.03
373,62.21
374,33.39
375,48.87
376,27.41
377,32.94
378,32.38
379,70.95
380,48.76
381,47.19
382,49.39
383,32.09
384,30.81
385,87.1
386,65.58
387,99.4
388,44.47
389,47.63
390,37.07
391,32.05
392,35.81
393,95.56
394,45.09
395,43.64
396,31.74
397,33.3
398,34.17
399,100.39
400,89.88
401,71.68
402,63.34
403,29.49
404,81.86
405,58.85
406,42.72
407,68.68
408,38.2
409,52.84
410,84.51
411,33.74
412,32.16
413,65.88
414,35.25
415,21.45
416,56.76
417,89.86
418,91.29
419,37.64
420,19.08
421,25.8
422,61.09
423,38.55
424,29.12
425,68.7
426,147.1
427,36.68
428,22.89
429,58.24
430,112.87
431,23.85
432,147.08
433,32.51
434,35.52
435,21.79
436,51.83
437,66.87
438,88.67
439,47.85
440,32.61
441,86.03
442,71.93
443,33.54
444,37.13
445,269.53
446,135.34
447,38.52
448,40.41
449,49.43
450,73.27
451,38.73
452,33.54
453,44.94
454,73.3
455,22.78
456,24.73
457,35.69
458,61.91
459,47.37
460,34.96
461,27.07
462,24.26
463,63.46
464,69.61
465,55.36
466,30.86
467,33.11
468,72.33
469,87.56
470,35.27
471,125.39
472,31.77
473,20.39
474,30.64
475,36.08
476,37.26
477,29.28
478,29.3
479,19.44
480,46.57
481,47.36
482,18.26
483,109.12
484,53.5
485,31.94
486,27.98
487,88.72
488,25.85
489,33.28
490,95.77
491,29.31
492,73.92
493,18.88
494,22.44
495,30.42
496,27.09
497,33.28
498,45.9
499,101.59
500,25.44
