Packet Number,Latency (µs)
491,439.37
492,229.629
493,305.429
494,1193.272
495,223.889
496,349.979
497,709.998
498,277.655
499,230.519
500,439.802
