Packet Number,Latency (µs)
1,27690.988
2,101.575
3,2581.155
4,126.564
5,197.23
6,2876.706
7,220.853
8,2071.823
9,1752.231
10,1022.51
11,621.439
12,531.598
13,102.261
14,99.574
15,1599.864
16,535.831
17,1295.322
18,276.544
19,1712.424
20,846.248
21,519.78
22,514.512
23,231.029
24,1472.531
25,2307.073
26,992.344
27,1023.343
28,3015.016
29,857.495
30,1865.565
31,567.318
32,1581.978
33,1810.934
34,6545.124
35,4652.541
36,792.97
37,1193.917
38,4798.255
39,1380.437
40,1097.762
41,1138.173
42,5530.056
43,2702.116
44,1335.463
45,991.775
46,1900.592
47,1159.745
48,3909.72
49,3168.346
50,1453.736
51,2265.874
52,490.33
53,1107.97
54,929.378
55,1341.714
56,531.336
57,209.788
58,608.057
59,488.096
60,676.743
61,338.664
62,322.156
63,1255.26
64,1093.11
65,1447.632
66,619.39
67,640.963
68,1450.068
69,2068.457
70,2570.755
71,481.228
72,1747.969
73,1766.493
74,3106.526
75,3685.308
76,170.341
77,250.663
78,382.598
79,1324.241
80,170.971
81,800.474
82,763.168
83,235.991
84,494.411
85,187.619
86,116.962
87,187.243
88,1961.022
89,1130.711
90,3151.674
91,330.463
92,891.061
93,1061.06
94,3113.357
95,4168.212
96,1879.305
97,462.655
98,760.256
99,1029.355
100,722.334
101,762.533
102,1268.622
103,543.503
104,3577.807
105,456.173
106,962.047
107,4563.431
108,610.646
109,605.473
110,5924.491
111,3029.013
112,4214.443
113,2362.718
114,1159.853
115,1136.565
116,768.213
117,1082.924
118,2768.612
119,5536.397
120,475.533
121,445.615
122,1086.413
123,516.674
124,2496.015
125,2541.891
126,2290.842
127,491.345
128,10281.702
129,1281.703
130,508.255
131,1296.502
132,1339.107
133,614.348
134,703.181
135,1309.971
136,2294.11
137,812.402
138,761.13
139,960.346
140,274.938
141,1683.559
142,2059.374
143,562.04
144,1303.103
145,546.427
146,896.692
147,4062.319
148,3785.14
149,104.311
150,1311.823
151,2594.707
152,843.4
153,273.975
154,3001.537
155,152.56
156,2874.779
157,1189.706
158,8261.699
159,1062.359
160,231.869
161,443.655
162,2267.698
163,8670.315
164,5805.51
165,797.552
166,762.194
167,3649.131
168,1105.597
169,291.586
170,764.432
171,166.382
172,225.679
173,1391.218
174,219.345
175,845.856
176,455.248
177,1281.327
178,1629.462
179,881.283
180,570.57
181,574.363
182,205.95
183,1162.447
184,4129.28
185,883.629
186,991.579
187,757.324
188,985.851
189,811.237
190,1692.325
191,2276.818
192,1254.81
193,2187.121
194,2263.129
195,543.463
196,2091.945
197,3436.944
198,557.348
199,2501.668
200,4876.58
201,2641.403
202,3339.37
203,1515.44
204,1499.552
205,585.613
206,3626.098
207,1520.483
208,4859.527
209,697.286
210,3849.012
211,362.347
212,690.713
213,2269.945
214,5989.3
215,3492.376
216,3112.687
217,229.637
218,5324.007
219,708.319
220,669.07
221,902.177
222,979.45
223,1021.498
224,1320.357
225,839.337
226,831.098
227,557.146
228,3813.468
229,180.626
230,485.688
231,495.663
232,1059.698
233,216.96
234,494.26
235,367.975
236,302.957
237,4901.7
238,524.403
239,254.704
240,149.421
241,1076.933
242,703.631
243,399.855
244,764.684
245,2461.842
246,2908.034
247,539.189
248,852.164
249,1402.004
250,2988.627
251,1200.628
252,3481.964
253,3951.197
254,889.87
255,6778.184
256,5023.265
257,8119.882
258,386.704
259,180.002
260,283.426
261,233.273
262,806.778
263,3546.5
264,2805.499
265,1595.926
266,334.317
267,829.909
268,317.054
269,1670.904
270,1737.756
271,939.337
272,1827.194
273,3096.702
274,4018.702
275,457.145
276,1274.997
277,464.647
278,1299.954
279,571.786
280,1576.522
281,2521.071
282,2127.272
283,649.464
284,883.855
285,606.931
286,809.374
287,1660.071
288,941.267
289,539.165
290,2623.894
291,3243.691
292,471.44
293,1354.162
294,2817.921
295,208.525
296,394.543
297,1181.626
298,80.67
299,127.49
300,553.127
301,2361.821
302,1861.913
303,263.585
304,771.673
305,265.192
306,1294.924
307,2714.131
308,1238.029
309,679.947
310,1736.079
311,2222.092
312,3493.93
313,1665.183
314,742.919
315,3788.674
316,650.897
317,4373.693
318,2698.635
319,5365.546
320,2700.386
321,1292.623
322,2132.505
323,610.419
324,980.94
325,431.172
326,997.045
327,130.542
328,2328.405
329,3406.234
330,1963.525
331,2781.372
332,1607.007
333,2951.417
334,6004.362
335,1851.38
336,4041.383
337,772.862
338,3259.702
339,2651.832
340,2196.301
341,754.146
342,353.872
343,1713.18
344,3327.783
345,3499.11
346,1086.547
347,791.39
348,2262.941
349,4055.007
350,2854.647
351,488.171
352,146.309
353,273.724
354,856.123
355,5820.762
356,805.476
357,311.984
358,495.517
359,972.788
360,393.993
361,815.099
362,429.933
363,356.776
364,4547.526
365,1077.405
366,3663.312
367,684.844
368,999.424
369,556.274
370,797.053
371,2223.479
372,1565.719
373,875.174
374,5489.014
375,3020.492
376,3121.317
377,2135.614
378,669.812
379,885.784
380,616.186
381,276.007
382,260.25
383,228.696
384,253.106
385,209.931
386,2871.252
387,1037.578
388,2543.439
389,1027.175
390,2701.764
391,4415.903
392,645.805
393,194.717
394,1052.977
395,3813.052
396,809.215
397,1601.993
398,1558.295
399,1048.249
400,3931.136
401,7859.809
402,1310.104
403,321.222
404,677.811
405,3191.777
406,180.668
407,845.354
408,727.651
409,296.96
410,1593.722
411,786.933
412,4929.141
413,602.971
414,841.234
415,1335.943
416,866.488
417,552.565
418,796.47
419,636.405
420,1661.739
421,332.324
422,788.026
423,691.698
424,1029.286
425,1463.589
426,1632.154
427,3074.929
428,3115.968
429,1419.876
430,1739.739
431,1557.895
432,823.307
433,452.75
434,2316.605
435,544.727
436,1650.331
437,2502.522
438,330.02
439,3355.678
440,3668.151
441,1941.077
442,3493.381
443,3294.334
444,3052.671
445,2807.185
446,680.759
447,338.894
448,1198.918
449,474.488
450,1787.114
451,2058.944
452,684.287
453,83.193
454,443.29
